T,p,v_fcc,v_liquid,u_fcc,u_liquid
6.000000e-01,-4.951610e-01,1.059330e+00,1.242252e+00,-6.353203e+00,-5.119660e+00
7.000000e-01,6.139530e-01,1.044948e+00,1.184414e+00,-6.291916e+00,-5.235137e+00
8.000000e-01,1.836050e+00,1.028849e+00,1.145874e+00,-6.231699e+00,-5.255228e+00
9.000000e-01,3.155036e+00,1.012774e+00,1.114752e+00,-6.160677e+00,-5.230311e+00
1.000000e+00,4.562303e+00,9.969701e-01,1.088367e+00,-6.078960e+00,-5.171459e+00
1.100000e+00,6.051601e+00,9.819048e-01,1.065243e+00,-5.982604e+00,-5.085552e+00
1.200000e+00,7.618527e+00,9.674198e-01,1.044407e+00,-5.874389e+00,-4.978650e+00
1.300000e+00,9.259127e+00,9.537063e-01,1.025566e+00,-5.752017e+00,-4.851326e+00
1.400000e+00,1.097039e+01,9.407169e-01,1.008255e+00,-5.616230e+00,-4.706742e+00
1.500000e+00,1.274948e+01,9.283937e-01,9.922028e-01,-5.467602e+00,-4.546635e+00
1.600000e+00,1.459422e+01,9.166874e-01,9.772355e-01,-5.306784e+00,-4.372452e+00
1.700000e+00,1.650232e+01,9.054447e-01,9.633029e-01,-5.136252e+00,-4.183588e+00
1.800000e+00,1.847213e+01,8.947798e-01,9.502346e-01,-4.953695e+00,-3.981490e+00
1.900000e+00,2.050214e+01,8.846496e-01,9.377986e-01,-4.759294e+00,-3.769274e+00
2.000000e+00,2.259078e+01,8.749080e-01,9.261455e-01,-4.555874e+00,-3.543498e+00
2.200000e+00,2.693885e+01,8.566497e-01,9.044530e-01,-4.119421e+00,-3.062250e+00
2.400000e+00,3.150734e+01,8.397658e-01,8.847772e-01,-3.647455e+00,-2.540033e+00
2.600000e+00,3.628827e+01,8.241546e-01,8.666434e-01,-3.140066e+00,-1.983567e+00
2.800000e+00,4.127545e+01,8.096273e-01,8.499671e-01,-2.599894e+00,-1.391334e+00
3.000000e+00,4.646305e+01,7.960042e-01,8.344755e-01,-2.030399e+00,-7.675403e-01
3.200000e+00,5.184609e+01,7.832317e-01,8.200502e-01,-1.431266e+00,-1.125154e-01
3.400000e+00,5.742014e+01,7.711739e-01,8.064794e-01,-8.056914e-01,5.692264e-01
3.600000e+00,6.318159e+01,7.598226e-01,7.937555e-01,-1.518431e-01,1.279688e+00
3.800000e+00,6.912672e+01,7.490000e-01,7.817617e-01,5.240771e-01,2.016826e+00
4.000000e+00,7.525293e+01,7.388002e-01,7.704209e-01,1.228464e+00,2.779729e+00
