,T,ref p,my p,ref ds,my ds,ref dv,my dv
0,2.0,22.59078,22.591,1.0849355451249993,1.0958172981517313,0.051237499999999936,0.050564318895339966
1,2.2,26.93885,26.929486276590215,1.0658804219113633,1.059121606298883,0.04780329999999999,0.04653105139732361
2,2.4,31.50734,31.485333973511494,1.0523381181983336,1.0524938187365216,0.045011400000000035,0.044155001640319824
3,2.6,36.28827,36.25583336857575,1.0378246332215382,1.04316894101539,0.04248879999999999,0.04194808006286621
4,2.8,41.27545,41.23249161845216,1.0262869278249989,1.024809503250451,0.040339799999999926,0.03963121771812439
5,3.0,46.46305,46.406395004479776,1.0167842118216663,1.0185760846799097,0.038471299999999986,0.03796064853668213
6,3.2,51.84609,51.775149867009745,1.008639332707812,1.0070756310839493,0.036818499999999976,0.036229878664016724
7,3.4,57.42014,57.336484212553415,1.000636633167647,0.9918584083354711,0.03530549999999999,0.03453823924064636
8,3.6,63.18159,63.082589266689915,0.9931849098086097,0.9887306879626914,0.03393289999999993,0.03336617350578308
9,3.8,69.12672,69.01158475451557,0.988804674374737,0.49043661868258714,0.032761700000000005,0.016277402639389038
10,4.0,75.25293,75.17943377195719,0.9827038309127492,0.0,0.031620699999999946,0.0
